Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
1505,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Chia Seeds",Diet,194mL,361mL,231,16,35,1
1506,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cocoa Powder,Diet,133mL,207mL,101,10,35,7
1507,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Chia Seeds",Bulking,150mL,256mL,239,1,29,8
1508,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Chia Seeds",Bulking,118mL,252mL,299,13,18,9
1509,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,109mL,281mL,69,12,5,6
1510,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,188mL,222mL,262,17,38,6
1511,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cinnamon,Bulking,167mL,217mL,232,13,0,5
1512,Beetroot,Water 200mL,Lavender,Bulking,128mL,326mL,232,6,9,9
1513,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Cinnamon",Diet,150mL,232mL,97,19,26,9
1514,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Vanilla Extract",Diet,162mL,210mL,164,16,18,3
1515,Aloe Vera,Water 200mL,Maca Powder,Diet,197mL,229mL,294,6,4,4
1516,Beetroot,Water 200mL,Maca Powder,Bulking,162mL,226mL,64,11,25,3
1517,Aloe Vera,Water 200mL,"Basil, Lavender",Diet,125mL,313mL,90,7,28,4
1518,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,169mL,292mL,179,16,39,8
1519,Coconut Water,Water 200mL,"Lavender, Peppermint",Diet,178mL,302mL,262,7,30,7
1520,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Cocoa Powder",Diet,187mL,251mL,128,17,15,8
1521,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Chia Seeds",Diet,140mL,290mL,55,17,21,8
1522,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,131mL,243mL,184,2,0,0
1523,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,104mL,259mL,286,19,14,1
1524,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Vanilla Extract",Diet,146mL,337mL,83,19,15,8
1525,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,178mL,244mL,180,19,0,8
1526,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Protein Powder",Bulking,158mL,363mL,62,5,16,1
1527,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,160mL,393mL,126,7,10,2
1528,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Protein Powder,Bulking,196mL,212mL,240,8,10,0
1529,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Chia Seeds",Diet,168mL,240mL,223,17,5,4
1530,Protein Shake,"Whey Protein 30g, Milk 200mL","Mint, Ginger",Bulking,132mL,299mL,280,11,20,3
1531,Kombucha,Water 200mL,Basil,Diet,122mL,218mL,133,2,9,3
1532,Turmeric,Water 200mL,Rose Petals,Bulking,162mL,380mL,126,18,14,2
1533,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,186mL,371mL,139,16,22,7
1534,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Chia Seeds",Bulking,149mL,343mL,67,18,34,5
1535,Elderberry,Water 200mL,Peppermint,Diet,119mL,344mL,168,8,3,1
1536,Elderberry,Water 200mL,Maca Powder,Bulking,103mL,327mL,289,18,24,2
1537,Turmeric,Water 200mL,Maple Syrup,Diet,179mL,270mL,113,13,2,2
1538,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cinnamon, Chia Seeds",Bulking,158mL,341mL,139,19,21,5
1539,Aloe Vera,Water 200mL,"Rose Petals, Maple Syrup",Bulking,149mL,384mL,210,10,27,8
1540,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,189mL,218mL,61,18,24,3
1541,Aloe Vera,Water 200mL,Basil,Diet,187mL,351mL,162,14,36,7
1542,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cocoa Powder, Honey",Diet,147mL,359mL,205,19,12,4
1543,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,146mL,292mL,62,11,16,1
1544,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Protein Powder",Bulking,185mL,334mL,71,2,25,9
1545,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Mint",Bulking,109mL,391mL,243,4,6,5
1546,Kombucha,Water 200mL,"Basil, Maca Powder",Diet,138mL,365mL,54,11,15,6
1547,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,174mL,235mL,192,3,27,8
1548,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Ginger",Diet,104mL,206mL,149,0,23,8
1549,Kombucha,Water 200mL,"Peppermint, Maca Powder",Bulking,175mL,302mL,218,10,31,8
1550,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,150mL,287mL,256,2,21,1
1551,Lemon Water,"Lemon Juice 20mL, Water 180mL","Honey, Chia Seeds",Diet,173mL,334mL,231,5,10,2
1552,Beetroot,Water 200mL,"Sea Salt, Rose Petals",Bulking,164mL,244mL,221,5,19,1
1553,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,137mL,213mL,245,19,16,8
1554,Elderberry,Water 200mL,Maca Powder,Diet,146mL,291mL,80,2,21,7
1555,Beetroot,Water 200mL,Rose Petals,Bulking,121mL,378mL,57,14,2,2
1556,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,109mL,275mL,118,17,34,8
1557,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Chia Seeds",Bulking,120mL,220mL,101,8,12,1
1558,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Cinnamon",Bulking,188mL,321mL,159,8,33,8
1559,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Cinnamon",Diet,123mL,345mL,227,16,14,4
1560,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,184mL,202mL,195,6,14,9
1561,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Vanilla Extract",Diet,162mL,393mL,249,7,39,9
1562,Aloe Vera,Water 200mL,"Sea Salt, Basil",Bulking,169mL,304mL,127,13,32,1
1563,Pomegranate Juice,Water 200mL,"Maple Syrup, Sea Salt",Bulking,135mL,310mL,172,9,14,7
1564,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cocoa Powder,Diet,101mL,383mL,59,10,4,4
1565,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Honey",Diet,187mL,314mL,238,18,29,0
1566,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Vanilla Extract",Bulking,178mL,372mL,285,13,14,0
1567,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Cinnamon",Diet,167mL,265mL,83,13,30,8
1568,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,118mL,213mL,58,14,20,2
1569,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Honey",Bulking,155mL,266mL,172,4,31,0
1570,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Vanilla Extract,Bulking,143mL,255mL,71,3,33,6
1571,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cinnamon,Bulking,138mL,251mL,50,15,30,0
1572,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Honey",Bulking,122mL,381mL,103,17,29,3
1573,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cocoa Powder,Bulking,180mL,388mL,152,8,12,7
1574,Coconut Water,Water 200mL,Peppermint,Bulking,171mL,315mL,195,0,11,9
1575,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Mint",Bulking,163mL,362mL,164,7,1,5
1576,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Ginger",Bulking,167mL,247mL,95,5,16,6
1577,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Chia Seeds",Bulking,146mL,280mL,152,3,22,2
1578,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cocoa Powder,Diet,192mL,205mL,142,14,27,8
1579,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Ginger",Diet,107mL,320mL,242,0,29,9
1580,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Ginger",Bulking,142mL,312mL,255,5,31,5
1581,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,185mL,377mL,182,12,9,2
1582,Lemon Water,"Lemon Juice 20mL, Water 180mL",Ginger,Diet,100mL,285mL,269,6,2,8
1583,Elderberry,Water 200mL,Maple Syrup,Diet,136mL,302mL,59,5,31,0
1584,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,171mL,348mL,174,0,20,1
1585,Elderberry,Water 200mL,Maple Syrup,Diet,145mL,270mL,55,10,21,7
1586,Kombucha,Water 200mL,"Peppermint, Lavender",Bulking,173mL,309mL,133,6,6,6
1587,Turmeric,Water 200mL,"Maple Syrup, Lavender",Bulking,118mL,392mL,191,14,31,2
1588,Aloe Vera,Water 200mL,Lemon Zest,Bulking,172mL,272mL,158,10,32,0
1589,Elderberry,Water 200mL,"Lemon Zest, Sea Salt",Diet,175mL,383mL,282,9,22,0
1590,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Mint",Bulking,148mL,200mL,64,4,12,5
1591,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Vanilla Extract",Diet,122mL,207mL,202,12,32,5
1592,Green Tea,"Green Tea Leaves 5g, Water 200mL",Protein Powder,Diet,175mL,342mL,152,16,4,3
1593,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,111mL,368mL,78,1,1,5
1594,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,174mL,388mL,148,15,35,1
1595,Pomegranate Juice,Water 200mL,Rose Petals,Bulking,145mL,310mL,274,19,18,0
1596,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Protein Powder,Diet,110mL,287mL,253,12,31,1
1597,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Cinnamon",Diet,108mL,256mL,270,3,19,2
1598,Elderberry,Water 200mL,Rose Petals,Diet,158mL,210mL,192,17,27,5
1599,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Honey,Bulking,130mL,208mL,214,9,18,8
1600,Beetroot,Water 200mL,Lavender,Diet,123mL,392mL,70,12,6,7
1601,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,109mL,329mL,198,3,28,7
1602,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,136mL,207mL,67,8,22,3
1603,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,117mL,344mL,243,6,16,3
1604,Kombucha,Water 200mL,"Maca Powder, Maple Syrup",Diet,141mL,226mL,130,4,1,6
1605,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Cinnamon",Diet,146mL,321mL,128,15,35,3
1606,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Cinnamon",Diet,128mL,276mL,157,15,14,0
1607,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Chia Seeds",Bulking,192mL,390mL,120,4,6,2
1608,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cinnamon, Protein Powder",Bulking,185mL,361mL,234,5,6,2
1609,Kombucha,Water 200mL,Peppermint,Bulking,142mL,289mL,268,9,38,9
1610,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Vanilla Extract,Bulking,146mL,392mL,182,16,8,9
1611,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Honey",Bulking,145mL,300mL,122,3,18,1
1612,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Ginger",Diet,160mL,281mL,230,7,11,1
1613,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,136mL,211mL,267,3,12,9
1614,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Cocoa Powder",Bulking,171mL,381mL,170,11,37,7
1615,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Chia Seeds",Diet,127mL,208mL,129,15,18,2
1616,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cocoa Powder,Bulking,158mL,293mL,264,7,31,9
1617,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,114mL,213mL,64,19,3,8
1618,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,164mL,273mL,82,11,27,3
1619,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Ginger",Diet,180mL,318mL,237,9,36,5
1620,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,125mL,374mL,91,7,15,3
1621,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,122mL,236mL,140,2,14,0
1622,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Cocoa Powder",Bulking,118mL,282mL,59,17,21,9
1623,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Honey,Diet,163mL,355mL,258,1,32,6
1624,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Honey",Diet,122mL,340mL,120,9,13,9
1625,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,101mL,275mL,291,11,8,9
1626,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cinnamon, Protein Powder",Bulking,155mL,207mL,161,8,0,2
1627,Aloe Vera,Water 200mL,Maple Syrup,Diet,113mL,314mL,61,8,12,5
1628,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,199mL,209mL,225,6,4,3
1629,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Ginger",Diet,124mL,294mL,93,8,24,4
1630,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,123mL,262mL,241,9,25,3
1631,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,117mL,295mL,223,1,30,8
1632,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Cinnamon",Diet,128mL,359mL,133,6,24,9
1633,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Cinnamon",Diet,164mL,378mL,199,9,4,7
1634,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,129mL,317mL,154,11,34,8
1635,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,164mL,209mL,163,14,5,0
1636,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,174mL,212mL,154,13,36,2
1637,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Mint",Diet,152mL,368mL,293,17,9,3
1638,Matcha,Water 200mL,"Lemon Zest, Lavender",Bulking,131mL,317mL,111,16,2,5
1639,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,197mL,232mL,176,11,12,7
1640,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,149mL,295mL,234,18,23,0
1641,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Mint",Diet,138mL,211mL,250,6,18,5
1642,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Vanilla Extract",Diet,168mL,216mL,251,12,38,4
1643,Protein Shake,"Whey Protein 30g, Milk 200mL",Protein Powder,Bulking,194mL,266mL,252,3,9,3
1644,Lemon Water,"Lemon Juice 20mL, Water 180mL","Ginger, Honey",Diet,142mL,329mL,290,0,21,9
1645,Pomegranate Juice,Water 200mL,"Sea Salt, Maple Syrup",Bulking,155mL,315mL,295,9,25,7
1646,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cinnamon, Cocoa Powder",Diet,111mL,384mL,143,6,21,7
1647,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Mint",Diet,176mL,217mL,156,10,7,0
1648,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,135mL,358mL,272,17,33,6
1649,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Cinnamon",Bulking,171mL,352mL,69,11,7,4
1650,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Vanilla Extract",Bulking,129mL,373mL,239,8,12,9
1651,Turmeric,Water 200mL,Rose Petals,Diet,138mL,261mL,94,13,27,2
1652,Matcha,Water 200mL,Maple Syrup,Diet,130mL,343mL,81,7,37,7
1653,Matcha,Water 200mL,"Maple Syrup, Sea Salt",Bulking,108mL,379mL,86,4,2,2
1654,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Ginger, Honey",Bulking,154mL,364mL,133,3,33,1
1655,Matcha,Water 200mL,"Rose Petals, Lavender",Diet,197mL,355mL,133,14,1,2
1656,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Honey",Diet,183mL,330mL,67,7,19,9
1657,Elderberry,Water 200mL,"Peppermint, Maple Syrup",Bulking,104mL,292mL,204,15,25,4
1658,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Cinnamon",Diet,137mL,391mL,112,14,17,2
1659,Coconut Water,Water 200mL,"Sea Salt, Peppermint",Bulking,179mL,278mL,205,3,37,2
1660,Kombucha,Water 200mL,Sea Salt,Diet,172mL,261mL,204,15,34,8
1661,Elderberry,Water 200mL,"Lavender, Rose Petals",Bulking,168mL,203mL,114,2,36,3
1662,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Cocoa Powder",Diet,143mL,201mL,162,11,4,0
1663,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,192mL,393mL,82,13,30,7
1664,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,169mL,290mL,226,15,12,7
1665,Turmeric,Water 200mL,Peppermint,Bulking,195mL,261mL,91,8,5,0
1666,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Chia Seeds,Bulking,197mL,220mL,280,18,33,5
1667,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Protein Powder",Diet,171mL,322mL,163,8,39,1
1668,Black Coffee,"Coffee Beans 10g, Water 200mL",Ginger,Diet,138mL,390mL,261,17,9,5
1669,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,112mL,398mL,151,15,8,9
1670,Elderberry,Water 200mL,Maca Powder,Bulking,106mL,207mL,217,4,21,1
1671,Turmeric,Water 200mL,"Sea Salt, Lemon Zest",Diet,115mL,370mL,67,14,10,5
1672,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Protein Powder",Bulking,117mL,351mL,152,6,30,4
1673,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,178mL,233mL,64,3,8,8
1674,Kombucha,Water 200mL,"Lavender, Maca Powder",Diet,150mL,265mL,278,9,4,3
1675,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,129mL,280mL,58,0,34,0
1676,Elderberry,Water 200mL,"Rose Petals, Lemon Zest",Bulking,167mL,287mL,166,4,1,6
1677,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,130mL,300mL,210,16,16,6
1678,Coconut Water,Water 200mL,Basil,Diet,169mL,207mL,200,1,18,7
1679,Coconut Water,Water 200mL,Basil,Diet,176mL,263mL,174,3,14,3
1680,Pomegranate Juice,Water 200mL,"Basil, Lemon Zest",Bulking,129mL,252mL,50,18,23,0
1681,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,197mL,232mL,156,19,16,8
1682,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cinnamon, Ginger",Bulking,182mL,378mL,250,10,12,1
1683,Coconut Water,Water 200mL,"Lavender, Maca Powder",Diet,183mL,266mL,264,11,26,7
1684,Matcha,Water 200mL,Rose Petals,Bulking,195mL,361mL,228,12,36,9
1685,Beetroot,Water 200mL,"Peppermint, Basil",Bulking,156mL,394mL,202,2,32,7
1686,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cocoa Powder,Diet,152mL,299mL,155,19,33,3
1687,Coconut Water,Water 200mL,"Sea Salt, Lavender",Diet,181mL,215mL,183,0,7,3
1688,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Protein Powder",Bulking,141mL,250mL,76,0,25,4
1689,Protein Shake,"Whey Protein 30g, Milk 200mL","Mint, Honey",Bulking,115mL,305mL,108,0,27,8
1690,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,168mL,250mL,257,5,12,2
1691,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Chia Seeds,Bulking,110mL,234mL,200,12,9,8
1692,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,156mL,289mL,123,8,38,6
1693,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Vanilla Extract, Chia Seeds",Bulking,165mL,209mL,212,5,35,7
1694,Turmeric,Water 200mL,Basil,Bulking,141mL,311mL,137,11,30,5
1695,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cocoa Powder,Diet,181mL,353mL,106,3,36,0
1696,Beetroot,Water 200mL,Lemon Zest,Bulking,150mL,343mL,297,7,20,4
1697,Aloe Vera,Water 200mL,Peppermint,Diet,148mL,314mL,121,18,37,2
1698,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Vanilla Extract",Bulking,116mL,285mL,212,0,28,4
1699,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Chia Seeds",Diet,106mL,379mL,55,18,39,7
1700,Turmeric,Water 200mL,"Maple Syrup, Maca Powder",Diet,147mL,296mL,134,0,22,3
1701,Lemon Water,"Lemon Juice 20mL, Water 180mL",Chia Seeds,Diet,165mL,201mL,229,4,18,0
1702,Coconut Water,Water 200mL,"Sea Salt, Basil",Diet,156mL,267mL,258,12,25,3
1703,Beetroot,Water 200mL,Lemon Zest,Diet,136mL,264mL,82,7,6,7
1704,Green Tea,"Green Tea Leaves 5g, Water 200mL",Protein Powder,Diet,159mL,270mL,144,6,27,0
1705,Turmeric,Water 200mL,Maca Powder,Diet,137mL,325mL,270,14,17,3
1706,Beetroot,Water 200mL,Rose Petals,Bulking,117mL,224mL,123,7,33,5
1707,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,159mL,361mL,235,9,26,5
1708,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,151mL,351mL,135,1,19,9
1709,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cocoa Powder, Protein Powder",Bulking,161mL,254mL,188,10,20,9
1710,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,120mL,214mL,168,11,26,0
1711,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,122mL,209mL,107,9,0,9
1712,Green Tea,"Green Tea Leaves 5g, Water 200mL",Chia Seeds,Diet,163mL,393mL,65,17,31,3
1713,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,159mL,219mL,299,4,9,8
1714,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Cinnamon",Bulking,172mL,216mL,244,4,35,0
1715,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Ginger",Diet,175mL,394mL,128,2,10,6
1716,Aloe Vera,Water 200mL,"Basil, Lemon Zest",Bulking,102mL,227mL,64,1,2,3
1717,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,115mL,398mL,130,17,2,7
1718,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Ginger",Diet,118mL,276mL,278,4,17,6
1719,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,126mL,279mL,154,16,29,8
1720,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,156mL,363mL,93,13,20,6
1721,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Honey",Diet,191mL,248mL,190,7,30,1
1722,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,107mL,241mL,193,19,2,1
1723,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Vanilla Extract",Bulking,103mL,234mL,193,11,6,5
1724,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,184mL,289mL,290,7,11,9
1725,Beetroot,Water 200mL,Maple Syrup,Bulking,131mL,336mL,220,15,10,0
1726,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cinnamon,Bulking,194mL,321mL,195,0,28,3
1727,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Ginger",Diet,117mL,211mL,94,1,23,9
1728,Kombucha,Water 200mL,Lavender,Diet,100mL,344mL,110,13,18,6
1729,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Vanilla Extract",Bulking,143mL,346mL,181,16,20,3
1730,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,103mL,212mL,245,3,6,9
1731,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,193mL,235mL,267,6,1,4
1732,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,131mL,364mL,77,5,23,1
1733,Milkshake,"Ice Cream 50g, Milk 150mL","Mint, Ginger",Bulking,161mL,387mL,223,11,15,5
1734,Beetroot,Water 200mL,"Rose Petals, Lemon Zest",Diet,106mL,290mL,133,4,30,1
