Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
3241,Fried Rice,"Turkey Slices 129g, Spices Chili Powder, Garlic Powder",Oregano,Savory,Bulking,90g/126mL,157g/226mL,357,37,56,15
3242,Maple Pecan Pie,"Salmon 120g, Spices Hot Sauce","Cardamom, Thyme",Sweet,Bulking,88g/121mL,120g/283mL,291,38,71,17
3243,Roast Chicken,"Almond 133g, Spices Garlic Powder",Rosemary,Meat,Bulking,70g/137mL,129g/227mL,257,34,24,26
3244,Hot Chicken Wings,"Kale 149g, Spices Ginger, Cinnamon, Garlic Powder","Rosemary, Thyme, Cardamom",Spicy,Bulking,72g/120mL,166g/268mL,300,12,80,18
3245,Chili Con Carne,"Almond 50g, Spices Cinnamon","Turmeric, Paprika, Cinnamon",Spicy,Bulking,58g/117mL,114g/267mL,474,6,54,5
3246,Pork Ribs,"Onion 69g, Spices Hot Sauce, Oregano","Cardamom, Chili Powder",Meat,Bulking,97g/105mL,124g/238mL,440,13,96,6
3247,Fruit Kebabs,"Yogurt 93g, Spices Rosemary, Ginger","Black Mustard Seed, Ginger, Black Pepper, Thyme",Fruit,Bulking,53g/131mL,126g/227mL,350,19,54,21
3248,Spicy Tacos,"Garlic 131g, Spices Garlic Powder","Black Mustard Seed, Hot Sauce, Ginger, Chili Powder",Spicy,Bulking,59g/100mL,124g/220mL,443,39,92,24
3249,Pork Ribs,"Butter 121g, Spices Chili Powder, Ginger",Cardamom,Meat,Bulking,58g/129mL,170g/229mL,393,15,25,29
3250,Roasted Carrots,"Turkey Slices 134g, Spices Turmeric","Rosemary, Turmeric, Chili Powder, Thyme",Vegetable,Bulking,56g/146mL,171g/252mL,538,24,76,5
3251,Chocolate Cake,"Kale 79g, Spices Black Pepper, Chili Powder, Cardamom","Paprika, Oregano, Black Pepper, Chili Powder",Sweet,Bulking,78g/135mL,127g/226mL,501,43,98,10
3252,Chili Con Carne,"Cheese 101g, Spices Oregano, Cinnamon",Oregano,Spicy,Bulking,58g/122mL,148g/262mL,717,14,52,18
3253,Fruit Salad,"Chicken Breast 74g, Spices Black Pepper, Paprika, Oregano","Turmeric, Black Pepper",Fruit,Bulking,62g/122mL,125g/216mL,491,32,97,11
3254,Duck Confit,"Garlic 143g, Spices Cinnamon, Hot Sauce","Cardamom, Turmeric, Hot Sauce",Meat,Bulking,78g/101mL,155g/208mL,318,33,21,28
3255,Blueberry Muffin,"Yogurt 112g, Spices Hot Sauce","Black Mustard Seed, Chili Powder, Cinnamon, Rosemary",Sweet,Bulking,92g/106mL,161g/299mL,390,37,80,21
3256,Berry Smoothie,"Wheat Flour 138g, Spices Rosemary","Cumin, Paprika, Ginger, Hot Sauce",Fruit,Bulking,78g/116mL,144g/298mL,322,35,47,17
3257,Chocolate Cake,"Milk 138g, Spices Cumin, Thyme, Cardamom","Black Pepper, Thyme, Cumin",Sweet,Bulking,54g/105mL,142g/223mL,255,43,46,24
3258,Berry Smoothie,"Kale 77g, Spices Rosemary, Paprika, Black Mustard Seed","Rosemary, Hot Sauce",Fruit,Bulking,79g/146mL,128g/242mL,380,46,99,18
3259,Salad Bowl,"Tomato 98g, Spices Cumin, Garlic Powder",Cinnamon,Vegetable,Bulking,61g/115mL,123g/201mL,248,17,60,21
3260,Duck Confit,"Yogurt 74g, Spices Garlic Powder","Black Mustard Seed, Ginger, Turmeric, Cinnamon",Meat,Bulking,69g/142mL,126g/291mL,637,30,96,9
3261,Salad Bowl,"Garlic 145g, Spices Ginger, Cardamom, Cinnamon","Turmeric, Hot Sauce",Vegetable,Bulking,80g/102mL,135g/222mL,673,27,99,5
3262,Beef Stew,"Wheat Flour 136g, Spices Turmeric, Rosemary, Black Mustard Seed","Turmeric, Cumin, Hot Sauce, Black Pepper",Savory,Bulking,77g/114mL,184g/280mL,393,31,35,9
3263,Chocolate Cake,"Oat 84g, Spices Black Pepper","Cinnamon, Thyme, Cumin",Sweet,Bulking,88g/119mL,130g/222mL,708,20,29,9
3264,Mushroom Risotto,"Wheat Flour 102g, Spices Rosemary","Oregano, Chili Powder, Ginger, Cinnamon",Savory,Bulking,92g/108mL,128g/261mL,348,11,98,13
3265,Fried Rice,"Egg 82g, Spices Cumin",Turmeric,Savory,Bulking,95g/120mL,165g/250mL,487,22,66,25
3266,Salad Bowl,"Kale 129g, Spices Paprika, Garlic Powder",Cumin,Vegetable,Bulking,63g/133mL,162g/226mL,756,10,64,20
3267,Fruit Kebabs,"Kale 78g, Spices Black Pepper, Thyme, Cinnamon","Cinnamon, Black Mustard Seed",Fruit,Bulking,86g/119mL,179g/290mL,689,22,89,19
3268,Fried Rice,"Tomato 99g, Spices Paprika, Cinnamon, Black Pepper","Thyme, Black Mustard Seed, Paprika",Savory,Bulking,72g/132mL,166g/276mL,637,41,82,19
3269,Duck Confit,"Honey 91g, Spices Chili Powder","Paprika, Garlic Powder, Cardamom, Thyme",Meat,Bulking,69g/111mL,173g/249mL,546,6,62,11
3270,Garlic Bread,"Yogurt 109g, Spices Cumin","Garlic Powder, Cumin, Thyme, Cinnamon",Savory,Bulking,72g/113mL,167g/222mL,556,45,27,26
3271,Hot Chicken Wings,"Soy 90g, Spices Hot Sauce","Oregano, Cumin, Turmeric, Cardamom",Spicy,Bulking,56g/125mL,135g/276mL,445,44,21,11
3272,Chocolate Cake,"Egg 58g, Spices Turmeric",Thyme,Sweet,Bulking,85g/110mL,163g/257mL,559,19,20,21
3273,Fried Rice,"Turkey Slices 113g, Spices Black Mustard Seed, Black Pepper, Chili Powder","Black Mustard Seed, Cayenne Pepper",Savory,Bulking,64g/142mL,130g/215mL,792,39,47,15
3274,Fruit Salad,"Turkey Slices 69g, Spices Cardamom, Cumin, Black Pepper","Black Mustard Seed, Paprika, Cayenne Pepper, Ginger",Fruit,Bulking,52g/136mL,126g/207mL,337,48,22,8
3275,Beef Stew,"Egg 60g, Spices Cardamom","Oregano, Ginger",Savory,Bulking,76g/128mL,190g/297mL,613,6,87,16
3276,Hot Chicken Wings,"Honey 89g, Spices Garlic Powder, Black Mustard Seed, Rosemary",Black Pepper,Spicy,Bulking,50g/133mL,134g/211mL,261,17,40,19
3277,Chicken Soup,"Garlic 64g, Spices Garlic Powder, Ginger, Turmeric","Thyme, Garlic Powder",Savory,Bulking,94g/133mL,191g/286mL,725,19,33,6
3278,Duck Confit,"Onion 142g, Spices Cardamom, Garlic Powder","Thyme, Cardamom",Meat,Bulking,82g/111mL,129g/235mL,328,25,74,18
3279,Lamb Chops,"Tomato 130g, Spices Cardamom",Cinnamon,Meat,Bulking,85g/105mL,141g/223mL,259,34,57,20
3280,Mango Sorbet,"Soy 69g, Spices Cardamom, Hot Sauce","Ginger, Garlic Powder",Fruit,Bulking,62g/100mL,198g/220mL,397,6,48,17
3281,Apple Pie,"Banana 98g, Spices Paprika, Turmeric, Rosemary",Paprika,Fruit,Bulking,87g/127mL,180g/247mL,337,13,97,17
3282,Duck Confit,"Milk 91g, Spices Garlic Powder, Cumin","Cayenne Pepper, Cardamom, Rosemary, Turmeric",Meat,Bulking,50g/111mL,147g/229mL,584,37,66,9
3283,Lamb Chops,"Apple 100g, Spices Rosemary","Garlic Powder, Cardamom, Paprika",Meat,Bulking,97g/110mL,181g/234mL,375,25,98,5
3284,Spicy Tacos,"Banana 69g, Spices Hot Sauce","Cardamom, Thyme, Garlic Powder",Spicy,Bulking,51g/142mL,114g/249mL,549,15,20,20
3285,Pumpkin Spice Latte,"Honey 113g, Spices Ginger, Garlic Powder, Cardamom","Rosemary, Black Mustard Seed, Thyme",Sweet,Bulking,62g/114mL,137g/202mL,721,23,53,12
3286,Roast Chicken,"Milk 108g, Spices Ginger, Ginger",Paprika,Meat,Bulking,94g/114mL,164g/274mL,263,33,64,16
3287,Maple Pecan Pie,"Cheese 137g, Spices Paprika, Cayenne Pepper, Cumin",Ginger,Sweet,Bulking,97g/104mL,131g/282mL,366,48,56,22
3288,Hot Chicken Wings,"Yogurt 101g, Spices Thyme, Turmeric","Cumin, Thyme, Cinnamon, Oregano",Spicy,Bulking,98g/109mL,109g/239mL,422,24,99,27
3289,Chili Con Carne,"Wheat Flour 66g, Spices Paprika",Chili Powder,Spicy,Bulking,66g/140mL,103g/279mL,470,14,39,26
3290,Grilled Vegetables,"Salmon 93g, Spices Oregano, Rosemary","Turmeric, Black Pepper, Black Mustard Seed, Oregano",Vegetable,Bulking,59g/132mL,198g/215mL,591,9,72,29
3291,Vegetable Curry,"Onion 90g, Spices Cumin","Black Mustard Seed, Cayenne Pepper",Vegetable,Bulking,69g/104mL,194g/202mL,420,19,45,29
3292,Berry Smoothie,"Turkey Slices 87g, Spices Black Pepper","Rosemary, Chili Powder, Cinnamon, Paprika",Fruit,Bulking,78g/141mL,193g/245mL,210,33,97,29
3293,Vanilla Custard,"Salmon 53g, Spices Hot Sauce, Black Pepper","Hot Sauce, Chili Powder",Sweet,Bulking,68g/126mL,148g/203mL,728,18,42,23
3294,Vegetable Curry,"Soy 139g, Spices Ginger, Hot Sauce, Cayenne Pepper",Rosemary,Vegetable,Bulking,56g/128mL,141g/200mL,416,28,90,20
3295,Duck Confit,"Beef Steak 126g, Spices Cayenne Pepper, Cayenne Pepper","Oregano, Chili Powder",Meat,Bulking,91g/116mL,196g/210mL,790,40,74,26
3296,Berry Smoothie,"Almond 96g, Spices Turmeric, Garlic Powder, Black Mustard Seed","Rosemary, Garlic Powder, Oregano, Paprika",Fruit,Bulking,80g/115mL,159g/259mL,482,11,92,15
3297,Chili Con Carne,"Onion 135g, Spices Ginger, Ginger","Paprika, Hot Sauce, Rosemary, Ginger",Spicy,Bulking,57g/140mL,126g/293mL,231,41,35,13
3298,Grilled Salmon,"Garlic 145g, Spices Paprika",Cardamom,Meat,Bulking,52g/137mL,133g/239mL,320,28,38,13
3299,Jalapeno Poppers,"Soy 103g, Spices Cumin, Turmeric","Garlic Powder, Hot Sauce, Chili Powder",Spicy,Bulking,80g/109mL,116g/218mL,471,34,51,15
3300,Fried Rice,"Almond 75g, Spices Turmeric, Cardamom","Black Pepper, Oregano",Savory,Bulking,66g/137mL,161g/229mL,776,43,59,26
3301,Fried Rice,"Oat 62g, Spices Oregano, Cumin","Hot Sauce, Ginger, Cumin",Savory,Bulking,52g/120mL,172g/299mL,458,38,45,19
3302,Chili Con Carne,"Soy 65g, Spices Ginger","Hot Sauce, Rosemary, Cardamom",Spicy,Bulking,84g/135mL,188g/293mL,479,44,74,10
3303,Vegetable Curry,"Carrot 128g, Spices Black Pepper, Rosemary",Cinnamon,Vegetable,Bulking,89g/148mL,197g/272mL,651,44,74,25
3304,Berry Smoothie,"Carrot 51g, Spices Garlic Powder, Cinnamon",Paprika,Fruit,Bulking,80g/112mL,187g/299mL,299,15,97,13
3305,Pumpkin Spice Latte,"Tomato 134g, Spices Garlic Powder, Cayenne Pepper, Paprika",Cumin,Sweet,Bulking,57g/119mL,147g/231mL,448,12,76,27
3306,Fruit Kebabs,"Tomato 55g, Spices Thyme","Paprika, Hot Sauce, Black Mustard Seed, Turmeric",Fruit,Bulking,82g/121mL,115g/295mL,603,34,21,10
3307,Salad Bowl,"Onion 63g, Spices Black Mustard Seed, Chili Powder","Turmeric, Ginger, Chili Powder, Cardamom",Vegetable,Bulking,81g/141mL,158g/247mL,572,32,28,15
3308,Chili Con Carne,"Yogurt 54g, Spices Ginger","Cumin, Cayenne Pepper, Oregano, Paprika",Spicy,Bulking,65g/125mL,180g/214mL,770,26,69,19
3309,Roast Chicken,"Carrot 61g, Spices Cinnamon, Black Mustard Seed",Hot Sauce,Meat,Bulking,66g/125mL,191g/270mL,249,38,48,21
3310,Szechuan Noodles,"Orange 113g, Spices Paprika","Paprika, Rosemary, Thyme",Spicy,Bulking,79g/101mL,197g/288mL,390,11,54,13
3311,Mango Sorbet,"Onion 110g, Spices Thyme, Cumin","Oregano, Cardamom",Fruit,Bulking,50g/145mL,143g/203mL,794,46,52,16
3312,Duck Confit,"Cheese 82g, Spices Cumin",Rosemary,Meat,Bulking,93g/123mL,140g/225mL,230,26,46,12
3313,Mushroom Risotto,"Oat 93g, Spices Cinnamon, Thyme, Hot Sauce","Cinnamon, Cardamom, Thyme",Savory,Bulking,76g/106mL,132g/242mL,302,16,86,29
3314,Chicken Soup,"Butter 89g, Spices Hot Sauce, Rosemary",Black Pepper,Savory,Bulking,71g/127mL,143g/264mL,541,33,83,18
3315,Garlic Bread,"Yogurt 121g, Spices Black Mustard Seed, Black Pepper","Paprika, Thyme, Turmeric, Chili Powder",Savory,Bulking,99g/129mL,165g/299mL,553,15,51,21
3316,Vegetable Curry,"Banana 118g, Spices Oregano","Cumin, Paprika",Vegetable,Bulking,95g/108mL,163g/228mL,294,7,36,12
3317,Hot Chicken Wings,"Wheat Flour 133g, Spices Black Pepper, Cinnamon","Chili Powder, Garlic Powder, Cumin",Spicy,Bulking,71g/141mL,116g/236mL,628,47,53,13
3318,Jalapeno Poppers,"Butter 116g, Spices Black Mustard Seed, Rosemary, Paprika",Cardamom,Spicy,Bulking,92g/145mL,145g/207mL,660,17,97,22
3319,Mushroom Risotto,"Tomato 67g, Spices Oregano, Garlic Powder, Chili Powder",Turmeric,Savory,Bulking,53g/106mL,135g/250mL,265,35,70,29
3320,Fruit Salad,"Salmon 76g, Spices Thyme, Oregano, Cumin",Oregano,Fruit,Bulking,77g/123mL,195g/269mL,609,26,31,13
3321,Maple Pecan Pie,"Carrot 65g, Spices Hot Sauce, Rosemary, Garlic Powder","Cayenne Pepper, Thyme, Black Mustard Seed, Cinnamon",Sweet,Bulking,52g/120mL,149g/285mL,329,22,38,8
3322,Chili Con Carne,"Beef Steak 125g, Spices Garlic Powder",Turmeric,Spicy,Bulking,50g/108mL,173g/251mL,332,19,34,14
3323,Fruit Kebabs,"Tomato 145g, Spices Black Pepper, Cinnamon",Chili Powder,Fruit,Bulking,53g/127mL,170g/212mL,320,11,48,18
3324,Salad Bowl,"Wheat Flour 89g, Spices Cayenne Pepper","Chili Powder, Cardamom, Cinnamon",Vegetable,Bulking,55g/124mL,168g/248mL,497,7,50,11
3325,Grilled Salmon,"Chicken Breast 137g, Spices Black Mustard Seed",Ginger,Meat,Bulking,96g/144mL,176g/233mL,275,17,26,26
3326,Lamb Chops,"Kale 70g, Spices Black Mustard Seed, Garlic Powder, Rosemary","Paprika, Ginger",Meat,Bulking,88g/137mL,152g/229mL,554,40,23,25
3327,Pork Ribs,"Cheese 129g, Spices Oregano","Garlic Powder, Cinnamon, Cayenne Pepper, Paprika",Meat,Bulking,68g/124mL,183g/205mL,582,49,67,23
3328,Beef Stew,"Turkey Slices 58g, Spices Rosemary, Cayenne Pepper, Turmeric",Turmeric,Savory,Bulking,82g/105mL,134g/221mL,697,40,81,10
3329,Lamb Chops,"Onion 52g, Spices Turmeric","Ginger, Black Pepper, Paprika",Meat,Bulking,51g/104mL,123g/267mL,295,48,48,11
3330,Vegetable Curry,"Broccoli 61g, Spices Paprika","Garlic Powder, Oregano, Paprika",Vegetable,Bulking,91g/118mL,177g/206mL,775,39,83,11
3331,Fried Rice,"Honey 81g, Spices Black Mustard Seed, Oregano, Cinnamon","Garlic Powder, Cumin, Chili Powder",Savory,Bulking,82g/111mL,187g/225mL,598,8,98,6
3332,Blueberry Muffin,"Soy 109g, Spices Cayenne Pepper, Black Pepper, Cardamom","Paprika, Thyme, Cinnamon",Sweet,Bulking,96g/137mL,137g/287mL,604,31,48,12
3333,Mushroom Risotto,"Yogurt 139g, Spices Thyme","Cayenne Pepper, Garlic Powder, Cumin",Savory,Bulking,63g/100mL,136g/229mL,628,40,25,13
3334,Chili Con Carne,"Almond 103g, Spices Ginger, Turmeric, Hot Sauce",Paprika,Spicy,Bulking,99g/116mL,127g/223mL,413,32,87,26
3335,Vegetable Curry,"Tomato 70g, Spices Oregano","Black Pepper, Oregano, Rosemary, Cayenne Pepper",Vegetable,Bulking,89g/108mL,157g/215mL,306,13,20,29
3336,Blueberry Muffin,"Salmon 116g, Spices Thyme","Garlic Powder, Thyme, Rosemary",Sweet,Bulking,75g/146mL,119g/218mL,647,24,57,8
3337,Hot Chicken Wings,"Tuna 77g, Spices Garlic Powder, Cinnamon, Paprika",Paprika,Spicy,Bulking,86g/122mL,182g/257mL,625,36,32,5
3338,Spicy Tacos,"Kale 53g, Spices Cumin, Turmeric","Rosemary, Hot Sauce",Spicy,Bulking,63g/125mL,189g/284mL,210,33,90,9
3339,Pork Ribs,"Chicken Breast 90g, Spices Thyme, Black Mustard Seed, Garlic Powder","Chili Powder, Ginger, Rosemary",Meat,Bulking,50g/136mL,177g/262mL,488,17,45,12
3340,Fried Rice,"Butter 120g, Spices Oregano, Hot Sauce, Black Mustard Seed","Garlic Powder, Rosemary, Cinnamon, Thyme",Savory,Bulking,75g/124mL,187g/204mL,529,36,81,8
3341,Grilled Vegetables,"Oat 91g, Spices Turmeric, Hot Sauce, Cumin","Rosemary, Ginger, Cayenne Pepper",Vegetable,Bulking,60g/136mL,135g/246mL,726,34,91,22
3342,Apple Pie,"Broccoli 130g, Spices Rosemary, Garlic Powder","Hot Sauce, Black Pepper, Cinnamon",Fruit,Bulking,92g/127mL,133g/298mL,583,46,99,13
3343,Salad Bowl,"Oat 55g, Spices Chili Powder, Oregano, Paprika","Turmeric, Hot Sauce",Vegetable,Bulking,96g/104mL,104g/294mL,510,6,54,28
3344,Berry Smoothie,"Almond 119g, Spices Cinnamon","Chili Powder, Hot Sauce, Cardamom",Fruit,Bulking,96g/143mL,181g/249mL,570,12,20,15
3345,Fried Rice,"Salmon 51g, Spices Cayenne Pepper, Thyme, Black Pepper",Chili Powder,Savory,Bulking,87g/117mL,183g/207mL,765,7,20,23
3346,Vegetable Curry,"Onion 126g, Spices Cardamom, Garlic Powder, Black Pepper","Thyme, Paprika, Black Pepper, Cayenne Pepper",Vegetable,Bulking,55g/142mL,143g/223mL,424,44,29,14
3347,Chocolate Cake,"Garlic 90g, Spices Black Mustard Seed, Black Pepper","Black Pepper, Turmeric, Oregano",Sweet,Bulking,73g/117mL,157g/275mL,200,26,56,27
3348,Roast Chicken,"Broccoli 58g, Spices Black Pepper, Cumin",Thyme,Meat,Bulking,86g/117mL,139g/252mL,644,11,77,5
3349,Stir Fried Greens,"Salmon 64g, Spices Ginger","Cayenne Pepper, Turmeric, Black Pepper",Vegetable,Bulking,78g/100mL,106g/224mL,459,43,23,28
3350,Vegetable Curry,"Almond 81g, Spices Chili Powder, Turmeric","Hot Sauce, Cayenne Pepper",Vegetable,Bulking,96g/143mL,148g/268mL,311,8,27,5
3351,Salad Bowl,"Garlic 120g, Spices Black Mustard Seed","Black Pepper, Rosemary",Vegetable,Bulking,52g/124mL,170g/219mL,662,35,97,11
3352,Duck Confit,"Beef Steak 146g, Spices Rosemary","Turmeric, Black Mustard Seed",Meat,Bulking,73g/118mL,165g/255mL,456,37,39,9
3353,Vegetable Curry,"Egg 102g, Spices Thyme, Rosemary, Black Pepper","Hot Sauce, Black Pepper, Cinnamon",Vegetable,Bulking,92g/104mL,125g/264mL,709,26,47,16
3354,Vegetable Curry,"Carrot 64g, Spices Chili Powder, Hot Sauce","Cinnamon, Rosemary, Black Pepper",Vegetable,Bulking,74g/109mL,174g/204mL,384,41,91,13
3355,Szechuan Noodles,"Tuna 58g, Spices Ginger","Black Pepper, Garlic Powder, Black Mustard Seed",Spicy,Bulking,64g/136mL,182g/215mL,495,13,94,12
3356,Mushroom Risotto,"Almond 58g, Spices Rosemary","Cinnamon, Cayenne Pepper",Savory,Bulking,95g/133mL,113g/287mL,448,26,38,5
3357,Vegetable Curry,"Garlic 104g, Spices Garlic Powder, Ginger","Garlic Powder, Hot Sauce, Rosemary",Vegetable,Bulking,86g/113mL,184g/265mL,600,40,68,16
3358,Roasted Carrots,"Orange 103g, Spices Cardamom, Chili Powder","Paprika, Rosemary",Vegetable,Bulking,53g/121mL,170g/238mL,585,33,74,26
3359,Chili Con Carne,"Beef Steak 134g, Spices Ginger","Black Mustard Seed, Garlic Powder, Turmeric, Cumin",Spicy,Bulking,58g/133mL,124g/248mL,611,23,32,12
3360,Salad Bowl,"Chicken Breast 98g, Spices Rosemary, Turmeric","Oregano, Turmeric, Chili Powder, Thyme",Vegetable,Bulking,72g/138mL,104g/292mL,544,5,52,6
3361,Maple Pecan Pie,"Soy 133g, Spices Garlic Powder",Garlic Powder,Sweet,Bulking,71g/102mL,135g/225mL,486,32,30,21
3362,Jalapeno Poppers,"Milk 106g, Spices Chili Powder","Turmeric, Thyme, Hot Sauce, Cinnamon",Spicy,Bulking,82g/144mL,106g/251mL,297,44,40,11
3363,Garlic Bread,"Honey 102g, Spices Cumin, Ginger","Cumin, Garlic Powder",Savory,Bulking,85g/140mL,176g/210mL,646,45,41,10
3364,Roast Chicken,"Turkey Slices 113g, Spices Ginger, Oregano","Black Mustard Seed, Hot Sauce, Thyme, Cardamom",Meat,Bulking,85g/101mL,153g/278mL,632,46,32,23
3365,Jalapeno Poppers,"Almond 66g, Spices Chili Powder, Ginger",Cinnamon,Spicy,Bulking,90g/107mL,155g/225mL,254,42,69,28
3366,Beef Stew,"Cheese 142g, Spices Oregano, Cardamom, Hot Sauce","Turmeric, Cayenne Pepper, Hot Sauce, Rosemary",Savory,Bulking,77g/149mL,116g/204mL,208,15,87,6
3367,Spicy Tacos,"Broccoli 90g, Spices Black Pepper",Cumin,Spicy,Bulking,79g/119mL,154g/266mL,478,33,81,19
3368,Blueberry Muffin,"Tomato 69g, Spices Chili Powder","Black Pepper, Paprika",Sweet,Bulking,60g/105mL,108g/280mL,645,49,36,20
3369,Fruit Salad,"Yogurt 120g, Spices Garlic Powder, Hot Sauce, Paprika",Ginger,Fruit,Bulking,75g/139mL,115g/202mL,225,47,88,6
3370,Grilled Vegetables,"Yogurt 71g, Spices Cinnamon","Paprika, Oregano, Cinnamon, Rosemary",Vegetable,Bulking,69g/138mL,186g/248mL,472,10,75,20
3371,Fruit Salad,"Orange 68g, Spices Paprika",Cumin,Fruit,Bulking,72g/139mL,155g/260mL,642,45,97,5
3372,Mushroom Risotto,"Turkey Slices 106g, Spices Black Mustard Seed",Ginger,Savory,Bulking,85g/140mL,190g/215mL,451,14,24,6
3373,Vanilla Custard,"Tomato 147g, Spices Black Pepper, Oregano, Turmeric","Black Pepper, Black Mustard Seed, Cumin",Sweet,Bulking,91g/137mL,105g/213mL,421,30,70,6
3374,Fruit Salad,"Banana 126g, Spices Chili Powder","Garlic Powder, Rosemary, Cinnamon, Hot Sauce",Fruit,Bulking,92g/149mL,119g/249mL,731,46,83,11
3375,Beef Stew,"Garlic 56g, Spices Ginger, Oregano","Black Pepper, Cinnamon, Thyme, Oregano",Savory,Bulking,51g/120mL,122g/248mL,217,14,72,9
3376,Duck Confit,"Salmon 68g, Spices Hot Sauce, Cayenne Pepper, Cardamom","Cinnamon, Hot Sauce",Meat,Bulking,82g/105mL,133g/229mL,717,36,47,16
3377,Blueberry Muffin,"Cheese 70g, Spices Black Pepper","Black Pepper, Chili Powder, Cinnamon, Thyme",Sweet,Bulking,86g/101mL,155g/280mL,610,25,86,25
3378,Duck Confit,"Wheat Flour 135g, Spices Black Pepper, Paprika","Oregano, Cumin",Meat,Bulking,79g/149mL,178g/234mL,795,15,42,15
3379,Grilled Salmon,"Oat 52g, Spices Paprika, Oregano, Chili Powder","Black Pepper, Thyme",Meat,Bulking,78g/129mL,119g/248mL,695,29,76,16
3380,Fried Rice,"Beef Steak 108g, Spices Chili Powder",Garlic Powder,Savory,Bulking,86g/139mL,145g/281mL,355,6,40,12
3381,Grilled Salmon,"Beef Steak 112g, Spices Black Pepper, Ginger","Cayenne Pepper, Garlic Powder",Meat,Bulking,73g/110mL,110g/236mL,753,38,60,21
3382,Hot Chicken Wings,"Butter 59g, Spices Turmeric, Cumin, Oregano","Turmeric, Paprika",Spicy,Bulking,79g/106mL,125g/269mL,220,49,73,14
3383,Grilled Salmon,"Cheese 106g, Spices Thyme",Cardamom,Meat,Bulking,51g/130mL,189g/299mL,286,41,84,19
3384,Pork Ribs,"Wheat Flour 114g, Spices Turmeric","Turmeric, Hot Sauce, Oregano, Rosemary",Meat,Bulking,74g/116mL,184g/253mL,483,26,56,28
3385,Mushroom Risotto,"Soy 77g, Spices Chili Powder",Black Mustard Seed,Savory,Bulking,73g/107mL,153g/244mL,354,13,94,23
3386,Hot Chicken Wings,"Broccoli 132g, Spices Oregano, Garlic Powder, Black Pepper","Cinnamon, Chili Powder, Paprika, Cumin",Spicy,Bulking,52g/114mL,184g/212mL,630,6,25,20
3387,Roasted Carrots,"Salmon 74g, Spices Paprika, Cumin, Thyme","Oregano, Garlic Powder, Cumin, Cayenne Pepper",Vegetable,Bulking,95g/139mL,153g/206mL,672,19,62,27
3388,Blueberry Muffin,"Cheese 101g, Spices Ginger","Turmeric, Oregano, Chili Powder",Sweet,Bulking,73g/117mL,173g/272mL,233,48,33,24
3389,Chicken Soup,"Broccoli 76g, Spices Black Pepper","Cayenne Pepper, Hot Sauce, Turmeric",Savory,Bulking,55g/100mL,142g/278mL,492,25,56,16
3390,Chili Con Carne,"Wheat Flour 74g, Spices Hot Sauce, Cayenne Pepper","Black Pepper, Rosemary, Cayenne Pepper",Spicy,Bulking,88g/105mL,137g/263mL,725,6,24,15
3391,Duck Confit,"Chicken Breast 134g, Spices Rosemary","Ginger, Black Mustard Seed, Thyme, Cumin",Meat,Bulking,62g/112mL,157g/299mL,268,21,64,15
3392,Berry Smoothie,"Onion 81g, Spices Rosemary, Cinnamon",Black Pepper,Fruit,Bulking,67g/135mL,113g/299mL,653,6,21,26
3393,Vegetable Curry,"Egg 108g, Spices Chili Powder, Rosemary","Garlic Powder, Turmeric, Oregano",Vegetable,Bulking,77g/147mL,105g/262mL,561,49,22,20
3394,Fruit Salad,"Apple 141g, Spices Paprika",Thyme,Fruit,Bulking,55g/100mL,190g/235mL,601,15,44,15
3395,Grilled Salmon,"Egg 129g, Spices Chili Powder","Cinnamon, Thyme",Meat,Bulking,72g/145mL,154g/204mL,203,7,76,6
3396,Berry Smoothie,"Apple 130g, Spices Oregano","Black Pepper, Paprika, Garlic Powder, Oregano",Fruit,Bulking,72g/116mL,178g/251mL,763,24,86,24
3397,Fruit Salad,"Carrot 62g, Spices Paprika, Paprika","Cumin, Cinnamon, Rosemary",Fruit,Bulking,91g/127mL,158g/286mL,695,24,79,26
3398,Pumpkin Spice Latte,"Onion 81g, Spices Black Pepper, Chili Powder","Garlic Powder, Turmeric, Thyme, Cumin",Sweet,Bulking,99g/100mL,167g/275mL,785,22,57,18
3399,Chicken Soup,"Wheat Flour 101g, Spices Turmeric","Garlic Powder, Black Mustard Seed",Savory,Bulking,57g/146mL,183g/275mL,761,10,96,18
3400,Spicy Tacos,"Kale 71g, Spices Cardamom, Black Mustard Seed",Cayenne Pepper,Spicy,Bulking,59g/123mL,126g/214mL,572,21,51,8
3401,Roast Chicken,"Orange 83g, Spices Cumin, Black Mustard Seed","Rosemary, Chili Powder, Cardamom, Black Mustard Seed",Meat,Bulking,91g/142mL,164g/250mL,455,48,92,24
3402,Pork Ribs,"Soy 100g, Spices Thyme, Chili Powder, Paprika","Garlic Powder, Cumin",Meat,Bulking,90g/139mL,147g/263mL,588,21,52,18
3403,Pumpkin Spice Latte,"Banana 136g, Spices Cinnamon","Cayenne Pepper, Turmeric, Hot Sauce",Sweet,Bulking,69g/103mL,168g/273mL,464,41,29,17
3404,Beef Stew,"Garlic 112g, Spices Black Pepper","Cinnamon, Thyme",Savory,Bulking,70g/130mL,113g/227mL,671,36,24,29
